Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Price_log,Type_Lumped,Make_Lumped,Region_Lumped,Car_Age,is_classic,car_class,Mileage_per_Age,Price_Deviation_by_Make,Car_Age_Sq
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,8.0,80000,False,120000.0,11.695255355062795,Yukon,GMC,Riyadh,11,0,Standard,6666.666666666667,74063.71841155234,121
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2015,5.0,140000,False,260000.0,12.468440756144114,Range Rover,Land Rover,Riyadh,10,0,Premium,12727.272727272728,71429.48717948719,100
Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,False,42000.0,10.645448706505872,Other,Kia,Other,10,0,Standard,20000.0,9730.371900826445,100
CX3,Abha,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,False,58000.0,10.968215530759236,Other,Mazda,Other,6,0,Standard,3571.4285714285716,10779.527559055117,36
Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2012,4.8,189000,False,85000.0,11.350418300109132,Other,Other,Riyadh,13,0,Luxury,13500.0,-34666.66666666667,169
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,155,False,48000.0,10.778977123006351,Sonata,Hyundai,Riyadh,9,0,Standard,15.5,13001.364341085275,81
Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,False,81500.0,11.308370569092329,Other,Toyota,Riyadh,9,0,Standard,11086.4,32125.44294826364,81
C300,Makkah,Chrysler,Automatic,Saudi,Full,2013,5.7,200,False,55000.0,10.915106645867503,Other,Other,Makkah,12,0,Standard,15.384615384615385,5620.0,144
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,False,145000.0,11.884495917930655,Land Cruiser,Toyota,Riyadh,14,0,Standard,5266.666666666667,95625.44294826363,196
LS,Dammam,Lexus,Automatic,Saudi,Full,2008,4.6,299000,False,38000.0,10.545367754151743,Other,Lexus,Dammam,17,0,Premium,16611.11111111111,-78461.71171171172,289
FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,False,140000.0,11.849404844423074,Other,Toyota,Riyadh,5,0,Standard,2833.3333333333335,90625.44294826363,25
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,71000,False,200000.0,12.206077645517674,Land Cruiser,Toyota,Riyadh,6,0,Standard,10142.857142857143,150625.44294826363,36
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,False,65000.0,11.082157933374816,Other,Hyundai,Jeddah,7,0,Standard,10625.0,30001.364341085275,49
Sunny,Riyadh,Nissan,Manual,Saudi,Standard,2011,1.4,290,False,7000.0,8.853808274977197,Sunny,Nissan,Riyadh,14,0,Standard,19.333333333333332,-27575.520833333336,196
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,False,76000.0,11.23850177707664,Other,Mitsubishi,Riyadh,7,0,Standard,9339.375,34268.81720430108,49
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,False,32000.0,10.373522431293592,Other,Hyundai,Riyadh,12,0,Standard,21846.153846153848,-2998.6356589147254,144
Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,False,23000.0,10.043292972227004,Other,Ford,Other,11,0,Standard,8166.666666666667,-14644.53728489484,121
5,Al-Baha,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,False,42000.0,10.645448706505872,Other,Other,Other,4,0,Standard,680.0,-2472.222222222219,16
Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,False,20000.0,9.90353755128617,Other,Chevrolet,Dammam,8,0,Standard,12.0,-23863.534675615214,64
Pathfinder,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2002,3.3,550000,False,10000.0,9.210440366976517,Other,Nissan,Al-Ahsa,23,0,Standard,22916.666666666668,-24575.520833333336,529
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,False,23000.0,10.043292972227004,Accent,Hyundai,Riyadh,8,0,Standard,22666.666666666668,-11998.635658914725,64
